,pred,lower_bound,upper_bound
2024-02-05,169.44815338443203,168.95636941499407,170.01315653847286
2024-02-06,151.24516895149563,150.7255812700187,151.84405501037116
2024-02-07,140.37126020050667,139.7767825221831,140.9642492366374
2024-02-08,141.2742194180463,133.88827046943413,141.77194088986354
2024-02-09,150.18341413611796,141.68155170714653,161.33981049615113
2024-02-10,163.16655393181117,151.35213229539988,178.67371201546413
2024-02-11,196.09991708599776,181.93003185590797,215.16873965104188
2024-02-12,142.7421994006899,142.11253184163152,143.31687594909846
2024-02-13,156.3749924038622,155.71030685575892,156.97305247118987
2024-02-14,203.3012770091609,202.67454651789572,203.91761275433447
2024-02-15,220.83383411191133,220.20416655285294,221.37437134748407
2024-02-16,236.25654457424974,235.66677577068947,244.69002401873811
2024-02-17,222.27285912939874,221.64914925816964,222.9352731983771
2024-02-18,227.5976762893281,226.52429163570235,228.12585285777396
2024-02-19,232.46564020562744,231.88873666445102,233.11309203395385
2024-02-20,224.66290073488202,224.04137806542462,225.29385835039506
2024-02-21,239.7537601129373,239.17050017456046,240.4012119412637
2024-02-22,232.85158859871882,231.7961812363196,233.47111904680693
2024-02-23,231.73310160190172,231.074740761847,232.32796754531844
2024-02-24,245.1968139853495,244.53719644957852,245.79683765027553
2024-02-25,248.32898777313366,247.59411202502673,248.95990032047467
2024-02-26,220.83618503393126,220.20375532849968,221.58555034473744
2024-02-27,221.73953942794085,221.14160449086157,222.34862789888345
2024-02-28,204.1477171953236,203.5183876817273,204.79715209378352
2024-02-29,176.96395425001919,176.35793330009298,177.5844419980344
2024-03-01,170.03732090998153,169.40796039446687,170.66071071281175
2024-03-02,193.97897036388778,193.27924847484334,194.5582672364178
2024-03-03,209.09397141442054,208.4778673562189,209.69168397408495
2024-03-04,277.22011506445125,276.5706910963949,277.8428495299155
2024-03-05,241.86294996441768,241.18262401521955,242.4870369441687
2024-03-06,230.0354370646912,229.33945873963324,230.88785264915046
2024-03-07,258.3467899677938,257.69915993097237,258.8870219802732
2024-03-08,301.66027722466384,270.04672814652906,302.2723844525187
2024-03-09,361.4628746346689,337.4492064439697,362.0748807089749
2024-03-10,446.9268650303653,420.50480947230835,447.54703792760296
2024-03-11,472.8894713241302,472.2228212607803,473.55461537178564
2024-03-12,567.411445260587,566.7952204206558,568.0906606139791
2024-03-13,543.4295682030959,542.7653032799676,544.0857015617829
2024-03-14,549.1010500785768,548.509973110739,549.6940772446383
2024-03-15,465.63100118100715,464.96394275897603,466.28706525096925
2024-03-16,466.21462404036345,465.67880575871203,466.8799088010762
2024-03-17,453.4094742829731,452.87474397841817,454.0724887364869
2024-03-18,305.84589876430204,305.1919438667164,306.56099133892246
2024-03-19,276.85368147562224,276.29172248957633,277.6448156641994
2024-03-20,274.5496141732821,273.92307032785243,275.1176706759493
2024-03-21,255.31728977345776,254.7270506339432,255.89935807688886
2024-03-22,229.11136429039647,228.54425578895635,229.75862950485953
2024-03-23,218.41202735272958,217.8336306265263,219.18140939694683
2024-03-24,214.96477805376034,214.35205021058027,215.620127193867
2024-03-25,221.6111980921951,221.0656588818664,222.22034511146742
2024-03-26,209.50514572545475,208.91807795916804,210.18633600244243
2024-03-27,185.25230290402808,184.55458441665488,185.83867901365676
2024-03-28,228.09408500785764,227.42248502879585,228.66065012518834
2024-03-29,263.4214312946449,262.7327136301704,264.0352167631203
2024-03-30,254.62907692652593,253.93546320169696,255.23826758310562
2024-03-31,294.371066011068,293.6774430073245,295.0115099951456
2024-04-01,390.6309110281906,389.9721855647391,391.3361356705358
2024-04-02,412.73918235722545,412.0238106428489,413.449707027115
2024-04-03,468.87620125704376,468.1741918052317,469.59076728952834
2024-04-04,520.8467084738509,520.1693136301308,533.9172197271924
2024-04-05,404.5711368806113,403.6100561485158,405.1860645018013
2024-04-06,357.0956098877232,356.4373209200844,363.018182949675
2024-04-07,335.90601745542455,330.3367748847337,336.4956138599088
2024-04-08,360.45350153854827,359.7503730040195,361.24512561113204
2024-04-09,389.3881241847188,388.55641589440575,390.08639397638774
2024-04-10,396.70091563411654,396.09545066289985,397.3294077273173
2024-04-11,366.3588141756423,365.68894796370915,367.17196475904785
2024-04-12,328.52513885777046,327.6934305674574,329.2892056379763
2024-04-13,287.79870639375207,287.0452838243325,288.5625622420639
2024-04-14,257.56371736385586,256.77700799370257,258.14953033360763
2024-04-15,200.91682487681976,200.24196859101122,201.66541985058979
2024-04-16,175.4340676332181,174.8098064308663,176.18266260698812
2024-04-17,142.87380176528873,142.1992188396403,143.721212601826
2024-04-18,141.91983636506492,141.14694460075185,142.56501116601873
2024-04-19,142.78033797310584,130.18033168305408,143.49304611533964
2024-04-20,148.30934777874162,131.7890442783635,149.00273011757412
2024-04-21,142.43020502339024,132.24818225822293,145.12170046371946
2024-04-22,125.19757397810349,124.39854394926653,125.9678871909108
2024-04-23,125.46236948770806,124.8086714714888,126.23319273214155
2024-04-24,119.97535266310459,119.16042112705284,120.72141472975007
2024-04-25,119.65284038342223,118.83026891780636,120.36329492951413
2024-04-26,119.02162202026544,118.26905152045882,119.96625314711352
2024-04-27,118.8552497424822,117.56857663370246,119.56734755626314
2024-04-28,123.11413527087153,121.92409905320372,123.90698960791231
