,pred,lower_bound,upper_bound
2024-02-05,161.489115166783,136.20068997027684,191.47285027000729
2024-02-06,158.3690347249109,122.29932250669256,205.07677921378138
2024-02-07,156.68081606653854,114.88134836478866,213.6889797404289
2024-02-08,156.05490482668935,110.05245459305057,221.286598381831
2024-02-09,161.80312589659496,110.44593528115229,237.04133142849167
2024-02-10,185.7450606164897,123.17773261474166,280.09305587180774
2024-02-11,198.91721542016788,128.47344983978994,307.9862698468515
2024-02-12,174.19743425541407,147.02162418735008,206.39648261878068
2024-02-13,177.93713944581077,137.5264602550434,230.22206443357368
2024-02-14,174.65434336325976,128.10531275655936,238.1176783325057
2024-02-15,167.71701609778728,118.27033846644426,237.83645040236544
2024-02-16,163.9685312403774,111.88734244386632,240.292410650607
2024-02-17,148.43345532873056,98.38558562005666,223.94022988195493
2024-02-18,136.67637980125966,88.22202955123318,211.74340344017924
2024-02-19,219.47442809315095,185.17988310723223,260.1201803271602
2024-02-20,194.36479947277016,150.12262853769636,251.64544240979657
2024-02-21,181.87411636509609,133.28119786095596,248.18350025705018
2024-02-22,180.02875597868527,126.80495001134044,255.5921750399687
2024-02-23,183.57164919851388,125.08163933862201,269.41244588450957
2024-02-24,190.64792305720218,126.14406765247705,288.13586910926887
2024-02-25,198.94831771261303,128.1530773419226,308.8527715575263
2024-02-26,197.15451848602348,166.46904837675166,233.49628377454087
2024-02-27,205.0368608787494,158.46182173809447,265.3012180340543
2024-02-28,206.58137554500556,151.4481426957414,281.7853290403318
2024-02-29,201.26866690413334,141.80240597509993,285.67270067674485
2024-03-01,196.41390619498034,133.85617469181418,288.20801607092216
2024-03-02,196.51781877495978,130.0463946382426,296.9651961786199
2024-03-03,213.4227253656139,137.49454247251407,331.2804921809301
2024-03-04,297.9367519964927,251.41364552069243,353.0687763839523
2024-03-05,303.2852261428291,234.09590558644604,392.92412298317737
2024-03-06,299.2983552783624,219.12240389829395,408.8103447145064
2024-03-07,294.8500346027491,207.42860900247487,419.11548905100676
2024-03-08,304.00503691280176,206.8365228647198,446.82177590463596
2024-03-09,342.96184663006073,226.5278913455791,519.2421451734704
2024-03-10,342.39284351181175,220.10898492789852,532.6127841919136
2024-03-11,355.9991669896617,300.4228676691622,421.8567244251832
2024-03-12,341.70370522827903,263.76544867595317,442.6714065578046
2024-03-13,323.0317976485242,236.4657293685068,441.28822629269627
2024-03-14,313.39894083761965,220.36318735183454,445.71372060127413
2024-03-15,300.246100092849,204.07470233029258,441.738831866882
2024-03-16,282.2125155851807,186.1202074844149,427.91647951276315
2024-03-17,265.0983258016761,170.07394696055667,413.2150961319796
2024-03-18,323.8483350111559,273.2848392977288,383.7671506367001
2024-03-19,317.4665220346725,244.92884815355583,411.48681901939534
2024-03-20,311.056586318927,227.47196347460917,425.354397150505
2024-03-21,305.2282333136306,214.14025840963788,435.06193138864273
2024-03-22,297.7062926234515,201.56552153272008,439.7033579634947
2024-03-23,283.1163325245132,185.6600431945892,431.72917749524004
2024-03-24,271.9180100713053,173.1512175076125,427.0221443743979
2024-03-25,247.00923028581428,208.4550587115111,292.69407143929965
2024-03-26,248.53317267492986,190.3903034001304,324.432162861001
2024-03-27,252.2051227891677,179.847258166859,353.674693789801
2024-03-28,264.6964700306484,178.13490553555394,393.32112387542054
2024-03-29,291.04564914835566,186.11476932885208,455.1362054373839
2024-03-30,311.15798629291726,190.14591885863393,509.1841729500629
2024-03-31,332.6174636764925,194.93765357765173,567.5372361990218
2024-04-01,326.93485316253236,275.99552855064394,387.27583295898734
2024-04-02,328.560810735994,251.91207349518155,428.5312921040226
2024-04-03,326.05893855664755,232.99112438470576,456.3024951849474
2024-04-04,307.9848974167365,207.7981297467003,456.47522021696113
2024-04-05,285.26829489438484,182.9781393444535,444.7416525465749
2024-04-06,275.0576383948633,168.6837943958797,448.511990795053
2024-04-07,270.9530744396946,159.40607576876997,460.5569028298349
2024-04-08,329.27202129157973,277.94859864908955,390.07235342216273
2024-04-09,321.50253550935474,246.37523042153342,419.5384420832177
2024-04-10,301.9593100166104,215.70622627428475,422.7018685578726
2024-04-11,288.0714636367712,194.25978597527384,427.1865519938043
2024-04-12,273.4696527016791,175.34391698869447,426.508385538113
2024-04-13,254.93853618997568,156.26179624881757,415.9280054044518
2024-04-14,243.16281951981455,142.99842440990295,413.4881698230176
2024-04-15,216.37943644632375,182.7542494119284,256.19136445520434
2024-04-16,200.22011776513025,153.53084046962732,261.1077711504691
2024-04-17,189.33076692564268,135.2265761786481,265.0820594414491
2024-04-18,188.05895475130254,126.80730881612776,278.8969405023322
2024-04-19,187.90138589160128,120.41687250408843,293.2058447107211
2024-04-20,183.61263139551488,112.48782211921514,299.70887312810964
2024-04-21,181.34438722126106,106.55943842506328,308.6144903042186
2024-04-22,120.28146403355939,101.52791930862283,142.49903562071418
2024-04-23,117.39079908172835,90.13336979956513,152.89120710444357
2024-04-24,114.34944696012143,82.21561538978713,159.0427312146581
2024-04-25,111.20748051869617,75.70319868261248,163.3630274351494
2024-04-26,108.9744857877109,70.72514718989622,167.90970432073598
2024-04-27,107.76755571188814,67.00454422857283,173.32923009664185
2024-04-28,110.0592864830285,65.79349573198645,184.10705201767246
