,pred,lower_bound,upper_bound
2024-02-05,154.1030731201172,153.1304339205424,155.1013205210368
2024-02-06,142.26585388183594,141.2100382639567,143.27923831176756
2024-02-07,135.24209594726562,134.1716691258748,136.20022252909342
2024-02-08,137.55059814453125,129.28833476130166,138.54809286499025
2024-02-09,131.83670043945312,130.44053543843586,133.09817668279013
2024-02-10,153.34718322753906,152.424873202006,158.8321611887614
2024-02-11,169.08346557617188,152.7892803433736,172.01279841105142
2024-02-12,187.83010864257812,186.8035212535858,188.83301900227866
2024-02-13,217.4827880859375,216.47774569702148,218.52014235677083
2024-02-14,222.04063415527344,221.0971903483073,227.18047584554037
2024-02-15,231.71510314941406,230.6712841796875,232.81178416188558
2024-02-16,231.71311950683594,230.5485009765625,245.17573662058513
2024-02-17,246.27723693847656,244.38915283330283,247.3145912093099
2024-02-18,235.82171630859375,234.9150852648417,236.73714294433594
2024-02-19,251.24526977539062,250.09856838162742,252.25831629435223
2024-02-20,222.5719757080078,221.5012971343994,223.55877828470867
2024-02-21,220.26644897460938,219.14438883463544,221.48326051457724
2024-02-22,215.5624237060547,214.4550014750163,216.58385339609782
2024-02-23,210.9729766845703,203.6311498006185,211.89902315775552
2024-02-24,185.33602905273438,184.23586290232342,186.3492522989909
2024-02-25,197.49139404296875,196.30588523930868,202.63172709147133
2024-02-26,219.69003295898438,218.6359586995443,221.00999007670086
2024-02-27,248.4347686767578,247.28527145385743,255.50101202392577
2024-02-28,250.38148498535156,249.38090052286785,251.52290115356445
2024-02-29,241.40354919433594,240.44004966796874,242.71755398050942
2024-03-01,238.41299438476562,237.404363711675,240.25510889689127
2024-03-02,248.74281311035156,247.53659309895832,250.03496866607665
2024-03-03,250.8180694580078,249.49343787384032,251.88374225870768
2024-03-04,323.20501708984375,322.10810639444986,324.32358500162763
2024-03-05,290.5357360839844,289.43844831339516,291.85695519510904
2024-03-06,271.75494384765625,270.65338567860925,274.94769097455344
2024-03-07,256.5556640625,255.36601421203613,257.6513395589193
2024-03-08,268.50897216796875,267.2467431386312,269.6446334838867
2024-03-09,274.58233642578125,273.44297195414225,275.73900318400064
2024-03-10,246.5387725830078,245.36397857584637,247.62839290746052
2024-03-11,373.1066589355469,371.9655727310181,374.2105631510417
2024-03-12,374.9322509765625,373.84373338063557,376.03629050699874
2024-03-13,383.71002197265625,382.571422571818,384.72113877105716
2024-03-14,389.8561096191406,388.70701347096764,400.3500281944275
2024-03-15,394.5915222167969,393.5113360684712,411.62548060989377
2024-03-16,372.03106689453125,365.0951200230916,373.1282897949219
2024-03-17,319.71673583984375,318.5182469406128,337.2037964515686
2024-03-18,361.7702331542969,360.7066311594645,362.9636545969645
2024-03-19,347.6513977050781,346.36721954345705,348.8524962056478
2024-03-20,409.9747009277344,408.7426290721894,411.2607004801432
2024-03-21,393.9540100097656,390.94519195302325,395.14717018636065
2024-03-22,380.1659851074219,379.18744242477413,381.4519846598307
2024-03-23,330.07562255859375,328.9817082087199,331.15426484436034
2024-03-24,300.7691955566406,299.6907155354818,302.00521670277914
2024-03-25,241.6028594970703,240.44679032262167,242.79486799621583
2024-03-26,219.88661193847656,218.86458410461427,220.9032685624186
2024-03-27,218.07972717285156,216.97376816304524,219.1202102661133
2024-03-28,240.5483856201172,239.4407216389974,243.55315255991619
2024-03-29,252.6333465576172,251.59571992360435,253.65178301432292
2024-03-30,238.0054473876953,236.9674941228231,239.15994881312054
2024-03-31,301.41839599609375,300.34203847249347,302.5738122245789
2024-04-01,356.2781066894531,355.19589292399087,357.5156976114909
2024-04-02,396.8767395019531,395.691707224528,398.1506182088216
2024-04-03,513.0475463867188,511.88471361287435,514.1143308652242
2024-04-04,535.4915771484375,534.409306989034,536.7970368067423
2024-04-05,484.31402587890625,483.2326253255208,485.58778584798176
2024-04-06,430.3800048828125,429.39269169535316,431.43259399668375
2024-04-07,430.61492919921875,429.5772641245524,431.93451654052734
2024-04-08,374.99908447265625,373.71190948486327,376.2630964145915
2024-04-09,398.26806640625,397.0446425337728,399.5275903065999
2024-04-10,399.7034606933594,398.5833554061254,400.9674726352946
2024-04-11,401.8655700683594,400.57793870544435,403.39667359034223
2024-04-12,379.3584289550781,378.1379711977895,380.6183016459147
2024-04-13,348.20587158203125,347.03050520324706,349.50338363647467
2024-04-14,324.8441467285156,323.51133422851564,326.14242876180015
2024-04-15,220.1620330810547,219.04228660074867,221.31561739318852
2024-04-16,201.45111083984375,200.33113223775229,202.74321695963542
2024-04-17,186.78480529785156,185.66473699951172,188.2541479479472
2024-04-18,179.99725341796875,178.8829411684672,181.43340983963014
2024-04-19,169.591796875,168.45688206481933,170.92895202636717
2024-04-20,167.17990112304688,164.88901082102458,168.6660606257121
2024-04-21,165.07240295410156,157.85106989542643,166.29090191650388
2024-04-22,133.19334411621094,131.85279134114586,134.6432108561198
2024-04-23,121.05362701416016,119.90862224324545,122.39646911621094
2024-04-24,128.1890106201172,124.5724877942403,129.39207018534344
2024-04-25,122.31095886230469,116.72345335225424,123.51909108988444
2024-04-26,117.32744598388672,111.07578311157226,122.99378783162435
2024-04-27,115.78851318359375,113.63070105489093,120.43351951090493
2024-04-28,110.576171875,109.25308436711629,113.87855767822266
