,changepoint_prior_scale,seasonality_prior_scale,rmse
0,0.001,0.01,104.97766054761745
1,0.001,0.1,103.10926287168427
2,0.001,1.0,102.69968930249725
3,0.001,10.0,102.51051631064561
4,0.01,0.01,91.63152831961486
5,0.01,0.1,90.77417976983367
6,0.01,1.0,90.10650250007889
7,0.01,10.0,90.06273609152665
8,0.1,0.01,80.23780961705314
9,0.1,0.1,79.7535603002786
10,0.1,1.0,80.3128978437106
11,0.1,10.0,80.38695267142087
12,0.5,0.01,78.96621315497444
13,0.5,0.1,77.86664411107594
14,0.5,1.0,78.41070137212682
15,0.5,10.0,78.24911674054256
