,Metric,Value,Model
3,MAPE,0.15450814142643918,SARIMAX
3,MAPE,0.17550171131708356,LightGBM
3,MAPE,0.17844681408391427,XGBoost
3,MAPE,0.20919104179067752,Baseline
3,MAPE,0.2626407613270327,Prophet
2,RMSE,65.8214373757876,XGBoost
2,RMSE,65.9589358618152,SARIMAX
2,RMSE,67.16972501491844,LightGBM
2,RMSE,71.80190391186242,Baseline
4,MAE Peaks,84.47596715748662,LightGBM
4,MAE Peaks,87.15849106561568,XGBoost
2,RMSE,87.87145662193444,Prophet
4,MAE Peaks,100.14882897954924,SARIMAX
4,MAE Peaks,108.64345238095237,Baseline
4,MAE Peaks,110.40355902338104,Prophet
1,MSE,4332.461618214728,XGBoost
1,MSE,4350.581220023052,SARIMAX
1,MSE,4511.7719585797595,LightGBM
1,MSE,5155.513405368324,Baseline
1,MSE,7721.392888860507,Prophet
