,"(p,q,P,Q)",AIC
72,"(2, 2, 0, 0)",-1343.528814433317
74,"(2, 2, 0, 2)",-1340.4297203999495
76,"(2, 2, 1, 1)",-1338.1643698571977
36,"(1, 1, 0, 0)",-1337.4538380682443
77,"(2, 2, 1, 2)",-1337.4292211054278
73,"(2, 2, 0, 1)",-1337.4011409257068
38,"(1, 1, 0, 2)",-1336.493413832995
79,"(2, 2, 2, 1)",-1336.086454932942
45,"(1, 2, 0, 0)",-1335.1604871602328
46,"(1, 2, 0, 1)",-1334.417634194188
80,"(2, 2, 2, 2)",-1333.7956976299029
37,"(1, 1, 0, 1)",-1333.3561273218133
47,"(1, 2, 0, 2)",-1333.16828974164
55,"(2, 0, 0, 1)",-1332.737990606281
41,"(1, 1, 1, 2)",-1332.359567593099
63,"(2, 1, 0, 0)",-1331.5439365354696
43,"(1, 1, 2, 1)",-1331.4708023866906
54,"(2, 0, 0, 0)",-1331.2611591885689
56,"(2, 0, 0, 2)",-1330.9658530949387
64,"(2, 1, 0, 1)",-1330.5814359514493
52,"(1, 2, 2, 1)",-1330.0170941238398
40,"(1, 1, 1, 1)",-1329.40254363572
50,"(1, 2, 1, 2)",-1328.9010438084467
49,"(1, 2, 1, 1)",-1328.5105702585693
44,"(1, 1, 2, 2)",-1328.4948196831242
65,"(2, 1, 0, 2)",-1328.437202696605
61,"(2, 0, 2, 1)",-1325.917975318539
70,"(2, 1, 2, 1)",-1325.5460244404787
68,"(2, 1, 1, 2)",-1325.4764688986077
59,"(2, 0, 1, 2)",-1325.4569630385315
67,"(2, 1, 1, 1)",-1325.4453925204882
53,"(1, 2, 2, 2)",-1325.0825942045037
58,"(2, 0, 1, 1)",-1323.9410209357695
62,"(2, 0, 2, 2)",-1322.4189733893577
71,"(2, 1, 2, 2)",-1322.346776910227
48,"(1, 2, 1, 0)",-1315.5788913888682
42,"(1, 1, 2, 0)",-1302.6335834439778
51,"(1, 2, 2, 0)",-1300.2090336176805
29,"(1, 0, 0, 2)",-1288.8488768737648
28,"(1, 0, 0, 1)",-1288.4082595478017
27,"(1, 0, 0, 0)",-1287.6164818837083
34,"(1, 0, 2, 1)",-1286.0595914620392
32,"(1, 0, 1, 2)",-1285.699558124354
60,"(2, 0, 2, 0)",-1283.1439160452842
31,"(1, 0, 1, 1)",-1283.0476270375893
35,"(1, 0, 2, 2)",-1282.3371070525538
39,"(1, 1, 1, 0)",-1254.3200327939649
57,"(2, 0, 1, 0)",-1244.7108927141637
30,"(1, 0, 1, 0)",-1234.8585824613633
75,"(2, 2, 1, 0)",-1225.84395965699
33,"(1, 0, 2, 0)",-1181.2611875609732
66,"(2, 1, 1, 0)",-1167.0646650473132
78,"(2, 2, 2, 0)",-1088.706766150175
69,"(2, 1, 2, 0)",-964.1973354623304
22,"(0, 2, 1, 1)",-339.87935484976464
23,"(0, 2, 1, 2)",-269.1411174754853
26,"(0, 2, 2, 2)",-257.66827696153024
25,"(0, 2, 2, 1)",-236.34402302608862
24,"(0, 2, 2, 0)",-95.789254403229
21,"(0, 2, 1, 0)",107.53574009123082
16,"(0, 1, 2, 1)",348.52572956563563
14,"(0, 1, 1, 2)",408.5134818315237
17,"(0, 1, 2, 2)",423.1307354306631
13,"(0, 1, 1, 1)",474.328702060871
15,"(0, 1, 2, 0)",566.1236548125914
12,"(0, 1, 1, 0)",715.7316726069218
5,"(0, 0, 1, 2)",1389.7697987419515
4,"(0, 0, 1, 1)",1416.910840327896
7,"(0, 0, 2, 1)",1425.4010448217255
8,"(0, 0, 2, 2)",1595.2756894374493
6,"(0, 0, 2, 0)",1707.0003249904375
3,"(0, 0, 1, 0)",1825.3204862369716
20,"(0, 2, 0, 2)",2043.059276225406
19,"(0, 2, 0, 1)",2624.463147758999
11,"(0, 1, 0, 2)",3010.765714691346
18,"(0, 2, 0, 0)",3701.1865551028377
10,"(0, 1, 0, 1)",3766.819458966593
2,"(0, 0, 0, 2)",4358.466635131675
9,"(0, 1, 0, 0)",5072.185296818472
1,"(0, 0, 0, 1)",5239.581868844272
0,"(0, 0, 0, 0)",6661.222800493699
