id,Cauce,Municipio,Provincia,Coordenadas UTM,X,Y,Z,Tipo de aforo,Instrumentación,Cuenca vertiente,titulo
2001,Duero,"Royo, El",Soria,Huso 30,41.87635755021094,-2.6931709177832146,1049,---,"Sonda, flotador y limnígrafo","556,30 km2",Duero en Salida del embalse de La Cuerda del Pozo
2002,Duero,Garray,Soria,Huso 30,41.797096217224485,-2.4549612870776625,1022,---,Sonda y limnígrafo,"1.458,90 km2",Duero en Garray-Soria
2004,Duero,Gormaz,Soria,Huso 30,41.486513341804354,-3.010517478661481,880,---,Sonda,"5.073,30 km2",Duero en Gormaz
2005,Ucero,"Burgo de Osma, El",Soria,Huso 30,41.57552150664676,-3.0837754244680156,900,---,Flotador y limnígrafo,"894,40 km2",Ucero en Osma
2006,Tormes,Hoyos del Espino,Ávila,Huso 30,40.3411543868295,-5.181905880052672,1370,---,Sonda,"64,70 km2",Tormes en Hoyos del Espino
2009,Riaza,Riaza,Segovia,Huso 30,41.283820131804944,-3.472033293682258,1139,---,Flotador y limnígrafo,"37,10 km2",Riaza en Riaza
2010,Riaza,Maderuelo,Segovia,Huso 30,41.533928875265936,-3.5611767054782613,900,---,Flotador y limnígrafo,"762,10 km2",Riaza en Linares del Arroyo
2011,Porma,Boñar,León,Huso 30,42.92522745741939,-5.296433074536978,1034,---,Radar y Limnígrafo,"250,20 km2",Porma en Salida del embalse del Porma
2012,Duratón,Sepúlveda,Segovia,Huso 30,41.300673837988235,-3.7376984919324228,920,---,Flotador y limnígrafo,"466,30 km2",Duratón en Sepúlveda
2013,Duero,Aranda de Duero,Burgos,Huso 30,41.65401708290693,-3.680586463672682,790,---,Sonda,"7.456,70 km2",Duero en Aranda de Duero
2015,Duero,Tudela de Duero,Valladolid,Huso 30,41.56490677198062,-4.666438584719747,690,---,Sonda,"12.791,40 km2",Duero en Herrera de Duero
2016,Cega,Arahuetes,Segovia,Huso 30,41.16727026137392,-3.854748787876355,938,---,Sonda y limnígrafo,"286,90 km2",Cega en Pajares de Pedraza
2017,Duero,"Burgo de Osma, El",Soria,Huso 30,41.50786028339481,-3.103148271501391,868,---,Sonda y limnígrafo,"6.406,20 km2",Duero en Navapalos
2018,Odra,Pedrosa del Príncipe,Burgos,Huso 30,42.251477540304904,-4.201580789972705,766,---,"Sonda, flotador y limnígrafo","797,20 km2",Odra en Pedrosa del Príncipe
2019,Pisuerga,Salinas de Pisuerga,Palencia,Huso 30,42.84905438527934,-4.389432058787872,947,---,Flotador y limnígrafo,"454,80 km2",Pisuerga en Salinas de Pisuerga
2020,Pisuerga,Aguilar de Campoo,Palencia,Huso 30,42.7943107821093,-4.2806393770596545,902,---,Flotador y limnígrafo,"546,30 km2",Pisuerga en Salida del embalse de Aguilar de Campoo
2022,Rivera,Cervera de Pisuerga,Palencia,Huso 30,42.85828367395963,-4.517182790358336,1013,---,Sonda y Limnígrafo,"59,10 km2",Rivera en Ruesga
2023,Carrión,Pino del Río,Palencia,Huso 30,42.60824545079793,-4.798308633182361,979,---,Flotador y limnígrafo,"496,70 km2",Carrión en Celadilla del Río
2024,Pisuerga,Alar del Rey,Palencia,Huso 30,42.657156570228516,-4.315850784223199,850,---,Sonda y Limnígrafo,"1.119,60 km2",Pisuerga en Alar del Rey
2025,Esgueva,Villanueva de los Infantes,Valladolid,Huso 30,41.700718621049894,-4.481125707110047,733,---,Sonda y Limnígrafo,"877,40 km2",Esgueva en Villanueva de los Infantes
2026,Valdavia,Abia de Las Torres,Palencia,Huso 30,42.42327076446796,-4.418619726140805,816,---,Flotador y limnígrafo,"647,00 km2",Valdavia en Abia de Las Torres
2028,Arlanza,Salas de los Infantes,Burgos,Huso 30,42.03431050424503,-3.27773498457168,955,---,Flotador,"356,60 km2",Arlanza en Salas de los Infantes
2029,Pisuerga,Cordovilla la Real,Palencia,Huso 30,42.13053446242662,-4.24956418936884,740,---,Radar,"4.218,50 km2",Pisuerga en Cordovilla
2030,Arlanza,Covarrubias,Burgos,Huso 30,42.05392816536027,-3.5086904330688795,881,---,Sonda y limnígrafo,"1.208,90 km2",Arlanza en Covarrubias
2031,Arlanza,Peral de Arlanza,Burgos,Huso 30,42.07886287901861,-4.079419025224969,770,---,Sonda y limnígrafo,"2.420,90 km2",Arlanza en Peral de Arlanza
2032,Arlanzón,Villasur de Herreros,Burgos,Huso 30,42.305213550694056,-3.373012903102773,1042,---,Sonda y limnígrafo,"152,30 km2",Arlanzón en Salida del embalse de Úzquiza
2034,Besandino,Boca de Huérgano,León,Huso 30,42.89691664608904,-4.885417356044453,1270,---,Sonda y limnígrafo,"37,60 km2",Besandino en Besande
2035,Besandino,Velilla del río Carrión,Palencia,Huso 30,42.82969692335958,-4.849409453593267,1127,---,Radar y limnígrafo,"72,60 km2",Besandino en Otero de Guardo
2036,Arlanza,Herrera de Valdecañas,Palencia,Huso 30,42.05604261682116,-4.240501162100411,740,---,Sonda y limnígrafo,"5.211,20 km2",Arlanza en Quintana del Puente
2037,Carrión,Velilla del río Carrión,Palencia,Huso 30,42.85284602062836,-4.83334501818982,1135,---,Flotador,"312,50 km2",Carrión en Salida del embalse de Compuerto
2040,Carrión,Villoldo,Palencia,Huso 30,42.24942740467784,-4.6001559203588736,790,---,Flotador y limnígrafo,"976,00 km2",Carrión en Villoldo
2041,Ucieza,Villalcázar de Sirga,Palencia,Huso 30,42.32231503341573,-4.523920706396541,795,---,Sonda y limnígrafo,"313,40 km2",Ucieza en Villalcázar de Sirga
2042,Carrión,Grijota,Palencia,Huso 30,42.03625314334324,-4.558286781409178,740,---,Flotador y limnígrafo,"2.255,20 km2",Carrión en Palencia
