id,Provincia,Nombre,X,Y,Z
B013X,ILLES BALEARS,"ESCORCA, LLUC",40.21666666666667,3.033333333333333,490
B051A,ILLES BALEARS,"SÓLLER, PUERTO",40.516666666666666,3.166666666666667,5
B087X,ILLES BALEARS,BANYALBUFAR,40.03333333333333,3.2666666666666666,60
B103B,ILLES BALEARS,ANDRATX - SANT ELM,40.31666666666667,2.5,52
B158X,ILLES BALEARS,"CALVIÀ, ES CAPDELLÀ",39.63333333333333,3.4333333333333336,50
B228,ILLES BALEARS,"PALMA, PUERTO",39.86666666666667,3.1333333333333333,3
B236C,ILLES BALEARS,"PALMA, UNIVERSIDAD",40.166666666666664,3.25,95
B248,ILLES BALEARS,"SIERRA DE ALFABIA, BUNYOLA",39.833333333333336,3.4833333333333334,1030
B275E,BALEARES,"SON BONET, AEROPUERTO",39.95,3.1,49
B278,ILLES BALEARS,"PALMA DE MALLORCA, AEROPUERTO",40.199999999999996,2.9333333333333336,8
B301,ILLES BALEARS,"LLUCMAJOR, CAP BLANC",40.15,2.8833333333333333,113
B334X,ILLES BALEARS,LLUCMAJOR,40.21666666666667,3.3833333333333333,140
B341X,BALEARES,PORRERES,39.86666666666667,3.3333333333333335,149
B346X,ILLES BALEARS,PORRERES,39.81666666666666,3.1666666666666665,120
B362X,ILLES BALEARS,"CAMPOS, CAN SION",39.75,3.9,40
B373X,ILLES BALEARS,"CAMPOS, SALINES LLEVANT",39.41666666666667,3.716666666666667,3
B398A,ILLES BALEARS,"CABRERA, PARQUE NACIONAL",39.266666666666666,3.1333333333333337,165
B410B,ILLES BALEARS,SANTANYÍ,39.733333333333334,3.8833333333333333,45
B434X,ILLES BALEARS,PORTOCOLOM  ,40.266666666666666,3.5666666666666664,17
B496X,ILLES BALEARS,SON SERVERA,40.43333333333334,3.4,25
B526X,ILLES BALEARS,ARTÀ,40.0,3.416666666666667,110
B569X,ILLES BALEARS,CAPDEPERA,39.71666666666667,4.15,57
B603X,ILLES BALEARS,ARTÀ-COLÒNIA DE SANT PERE,40.1,3.9833333333333334,99
B605X,ILLES BALEARS,"MURO, S'ALBUFERA",40.58333333333333,3.3833333333333333,2
B614E,ILLES BALEARS,MANACOR,39.96666666666666,3.2833333333333337,95
B640X,ILLES BALEARS,PETRA,40.583333333333336,3.3833333333333333,95
B644B,ILLES BALEARS,SINEU,40.233333333333334,3.1333333333333333,120
B656A,ILLES BALEARS,SANTA MARÍA DEL CAMÍ,39.8,2.8166666666666664,121
B662X,ILLES BALEARS,BINISSALEM,40.349999999999994,3.3,105
B684A,ILLES BALEARS,"ESCORCA, SON TORRELLA",40.35,3.05,842
B691,BALEARES,LA PUEBLA (SA CANOVA),40.63333333333333,3.9166666666666665,40
B691Y,ILLES BALEARS,SA POBLA,40.68333333333334,3.0166666666666666,40
B760X,ILLES BALEARS,POLLENÇA,40.483333333333334,3.466666666666667,35
B780X,ILLES BALEARS,PORT DE POLLENÇA,40.46666666666667,3.1166666666666667,2
B800X,ILLES BALEARS,"LA MOLA, MAÓ",40.43333333333334,4.75,78
B825B,ILLES BALEARS,ES MERCADAL,40.416666666666664,4.266666666666667,80
B860X,ILLES BALEARS,CIUTADELLA,40.550000000000004,4.083333333333333,20
B870C,ILLES BALEARS,"CIUTADELLA, CALA GALDANA",40.61666666666666,4.3500000000000005,43
B893,ILLES BALEARS,"MENORCA, AEROPUERTO",40.13333333333333,5.133333333333334,91
B908X,ILLES BALEARS,SANT JOAN DE LABRITJA,39.416666666666664,2.033333333333333,110
B925,ILLES BALEARS,SANT ANTONI DE PORTMANY,39.733333333333334,1.6,32
B954,ILLES BALEARS,"IBIZA, AEROPUERTO",39.45,1.45,6
B957,ILLES BALEARS,EIVISSA,39.266666666666666,1.9166666666666667,3
B986,ILLES BALEARS,FORMENTERA,39.3,2.2666666666666666,24
C018J,LAS PALMAS,TÍAS,29.066666666666666,-14.166666666666666,376
C019V,LAS PALMAS,YAIZA,29.3,-14.0,6
C029O,LAS PALMAS,LANZAROTE AEROPUERTO,29.066666666666666,-13.616666666666667,14
C038N,LAS PALMAS,HARÍA,29.75,-13.833333333333332,277
C048W,LAS PALMAS,TINAJO,29.583333333333336,-14.516666666666666,275
C101A,STA. CRUZ DE TENERIFE,ROQUE DE LOS MUCHACHOS,29.1,-18.599999999999998,2223
C117A,STA. CRUZ DE TENERIFE,PUNTAGORDA,29.4,-18.116666666666667,684
C117Z,STA. CRUZ DE TENERIFE,TIJARAFE,29.150000000000002,-18.15,733
C126A,STA. CRUZ DE TENERIFE,EL PASO,28.883333333333333,-18.05,844
C129V,STA. CRUZ DE TENERIFE,FUENCALIENTE,28.75,-18.299999999999997,30
C129Z,STA. CRUZ DE TENERIFE,TAZACORTE,29.333333333333332,-18.816666666666666,62
C139E,STA. CRUZ DE TENERIFE,LA PALMA AEROPUERTO,29.6,-18.05,33
C148F,STA. CRUZ DE TENERIFE,SAN ANDRÉS Y SAUCES,29.1,-18.716666666666665,362
C229J,LAS PALMAS,PÁJARA,28.983333333333334,-14.833333333333332,15
C239N,LAS PALMAS,"TUINEJE,PUERTO GRAN TARAJAL",28.716666666666665,-14.4,1
C248E,LAS PALMAS,ANTIGUA,28.450000000000003,-14.183333333333334,252
C249I,LAS PALMAS,FUERTEVENTURA AEROPUERTO,29.116666666666667,-14.633333333333333,25
C258K,LAS PALMAS,LA OLIVA,29.35,-14.833333333333332,217
C314Z,STA. CRUZ DE TENERIFE,"VALLEHERMOSO, ALTO IGUALERO  ",28.51666666666667,-18.183333333333334,1475
C316I,STA. CRUZ DE TENERIFE,ARURE,28.816666666666666,-18.2,916
C317B,STA. CRUZ DE TENERIFE,AGULO,28.900000000000002,-17.983333333333334,765
C319W,STA. CRUZ DE TENERIFE,"VALLEHERMOSO, DAMA",28.316666666666666,-17.7,190
C328W,STA. CRUZ DE TENERIFE,HERMIGUA,28.966666666666665,-17.833333333333332,252
C329B,STA. CRUZ DE TENERIFE,"LA GOMERA, AEROPUERTO",28.916666666666664,-17.849999999999998,219
C329Z,STA. CRUZ DE TENERIFE,SAN SEBASTIÁN DE LA GOMERA,28.466666666666665,-17.783333333333335,15
C406G,STA. CRUZ DE TENERIFE,"LA OROTAVA, CAÑADAS TEIDE",28.666666666666664,-17.2,2150
C412N,SANTA CRUZ DE TENERIFE,CITFAGRO_89_CHAVAO,28.4,-17.016666666666666,2071
C415A,SANTA CRUZ DE TENERIFE,CITFAGRO_64_HOYOS,28.616666666666667,-17.133333333333333,990
C417J,SANTA CRUZ DE TENERIFE,CITFAGRO_74_CHIO,28.233333333333334,-17.133333333333336,735
C418I,SANTA CRUZ DE TENERIFE,CITFAGRO_05_GUIAISO1,29.066666666666666,-17.166666666666668,476
